Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Model recved successfully!
Begin!
Epoch 346, Time:1080.3504688739777, Loss:1.8773069540659584
Epoch 347, Time:1087.4330170154572, Loss:1.921858580907186
Epoch 348, Time:1094.533077955246, Loss:1.850908613204956
Epoch 349, Time:1101.7007901668549, Loss:1.8299909432729085
Epoch 350, Time:1108.9435584545135, Loss:1.768827780087789
Epoch 351, Time:1111.5905418395996, Loss:2.0319496790568037
Epoch 352, Time:1114.2592113018036, Loss:1.8247056643168134
Epoch 353, Time:1116.9178059101105, Loss:1.8909817139307656
Epoch 354, Time:1119.614525794983, Loss:1.9255524317423505
Epoch 355, Time:1122.3139259815216, Loss:1.8840509653091433
Epoch 356, Time:1125.0867023468018, Loss:1.8726297775904337
Epoch 357, Time:1127.9963295459747, Loss:1.8629914442698159
Epoch 358, Time:1130.7493870258331, Loss:1.8553564548492432
Epoch 359, Time:1133.4316654205322, Loss:1.8792492628097535
Epoch 360, Time:1136.1731390953064, Loss:1.8604490995407108
Epoch 361, Time:1138.8674039840698, Loss:1.835539714495341
Epoch 362, Time:1141.5526008605957, Loss:1.8888901710510257
Epoch 363, Time:1144.2609815597534, Loss:1.8029342969258626
Epoch 364, Time:1146.9700002670288, Loss:1.8464659372965495
Epoch 365, Time:1149.6832749843597, Loss:1.858054828643799
Epoch 366, Time:1152.3965919017792, Loss:1.8070693572362264
Epoch 367, Time:1155.0639877319336, Loss:1.9512155055999754
Epoch 368, Time:1157.7880489826202, Loss:1.9117585579554242
Epoch 369, Time:1160.5107798576355, Loss:1.8712855974833171
Epoch 370, Time:1163.2158720493317, Loss:1.6225160439809163
Epoch 371, Time:1165.8851308822632, Loss:1.911038295427958
Epoch 372, Time:1168.5719156265259, Loss:1.9048076391220095
